gdsNum,gdsName,repRating,gdsStock,gdsSalePrice,gdsPrice,gdsImg,gdsDes,gdsUrl,cateCode
868752,라이트 캡형 100매 10팩,4.7,135,8900,18900,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-162305630614704726.jpg/2560/2560,"{'images_url': ['https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162305664626750179.png', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162305665750244067.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162305681408113282.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162305683493931804.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162305671158299176.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162305671943978562.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162305672669454110.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162305673322589558.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162305674147940000.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162305674908440833.jpg']}",https://ohou.se/productions/868752/selling,300
712800,피톤치드 원액 탈취제 300ml에어라파+리필1000ml,4.54,325,38900,69900,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-162546959280252877.jpeg/2560/2560,"{'images_url': ['https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/161456296011833048.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162270695769318973.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/161456298641450778.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/161456318138435329.gif', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/161654772827902739.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/161456301299185790.jpg']}",https://ohou.se/productions/712800/selling,300
569905, 제습제 120g 20개입 습기제거제 옷장 선반 옷걸이,4.68,481,18900,24900,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-162547312786579173.jpeg/2560/2560,"{'images_url': ['https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026476033683260.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026476736397041.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026477387430119.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026478087958778.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026478709811154.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026479471014628.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026480166983597.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026480785547285.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026481388702668.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026482033065610.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026482630801780.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026483260194179.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026484080481885.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026484682404816.jpg', 'https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/descriptions/url/162026485703063599.jpg']}",https://ohou.se/productions/569905/selling,300
311243,[주말특가] 신기패 바퀴벌레 개미 약 살충제 2P,4.51,254,7900,12000,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-162503164754158374.jpg/2560/2560,"{'images_url': ['https://exit.ohou.se/a6515457aec841394c1612dbeeea500844d65ac9/cdn.011st.com/11dims/thumbnail/11src/editorImg/20210517/43130951/1621246379684_E.jpg', 'https://exit.ohou.se/ce75e5158c14ea2a5ca5d34e664c1a86fca90c76/cdn.011st.com/11dims/thumbnail/11src/editorImg/20210517/43130951/1621246382927_E.jpg', 'https://exit.ohou.se/e5023b48d11fed2f767655ce71c60680e6b55660/cdn.011st.com/11dims/thumbnail/11src/editorImg/20210517/43130951/1621246384526_E.jpg', 'https://exit.ohou.se/7c72763ae575f2af61a60acd985fe443d4efae64/cdn.011st.com/11dims/thumbnail/11src/editorImg/20210517/43130951/1621246386407_E.jpg', 'https://exit.ohou.se/d6c034a020e343cb64bd4233e9bbf0562649f02c/cdn.011st.com/11dims/thumbnail/11src/editorImg/20210517/43130951/1621246387806_E.jpg', 'https://exit.ohou.se/66bdfb6dc079dc1e6b873236df86265cfda4ecc0/cdn.011st.com/11dims/thumbnail/11src/editorImg/20210508/43130951/1620401917025_E.jpg']}",https://ohou.se/productions/311243/selling,300
308148,   제습제 515ml x 12입,4.72,1368,10900,15900,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-162364074281819972.jpeg/2560/2560,"{'images_url': ['https://exit.ohou.se/138dbc43d0809d5511673268cc01a7f420747deb/gi.esmplus.com/livingcraf/new-%EC%83%81%EC%84%B8%ED%8E%98%EC%9D%B4%EC%A7%80/%EC%A0%9C%EC%8A%B5%EC%A0%9C/780.jpg', 'https://exit.ohou.se/c0b520aaa6a1c966a53eba259945fc6a547b963d/gi.esmplus.com/livingcraf/%EA%B3%B5%EC%A7%80/%EB%B0%B0%EC%86%A1%EB%B0%8F%EA%B3%A0%EA%B0%9D%EC%84%BC%ED%84%B0/780.jpg']}",https://ohou.se/productions/308148/selling,300
685519, 엑스퍼트 실내건조 투게더팩 섬유유연제 1L+세탁세제 2.8L,4.83,297,22900,24800,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-161250482713649771.jpg/2560/2560,"{'images_url': ['https://exit.ohou.se/33d4421d6d899cfbb7634dec939e3d7671bc6fd9/ai.esmplus.com/pgeplus/downy/Downy_Lager_top.jpg', 'https://exit.ohou.se/978771215e6730c58165f9ea175e72a4cab56ac2/ai.esmplus.com/miraepuls/Downy/Downy_TogetherPack_in.jpg', 'https://exit.ohou.se/464c61eb753d8b0a86c3f6c17b9d00dd3e74e5eb/ai.esmplus.com/pgeplus/img/info11.jpg']}",https://ohou.se/productions/685519/selling,300
854063,[25%] 액체 세탁세제 리큐 알카파워 2.1L(리필)×6개,4.68,61,19500,29900,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-162397727624139014.jpg/2560/2560,{'images_url': ['https://exit.ohou.se/d1a2f0cde9fc98448a014c7aa5d8054e98d83fbe/ai.esmplus.com/aekyungmall/AK/ak_liqal_ad900.jpg']},https://ohou.se/productions/854063/selling,300
854639, 국민휴지 NEW땡큐 화장지 3겹 데코 (30롤 X 2팩),3.87,127,9400,20000,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-162219670068599422.jpg/2560/2560,"{'images_url': ['https://exit.ohou.se/6fada17941bed5ce06dcaaeef9c70d1751557445/ai.esmplus.com/alldaroom/notice/goods/big.jpg', 'https://exit.ohou.se/646243b7c501a6eeedef5e1523a614afed49fd1b/ai.esmplus.com/alldaroom/tissue_bathroom/yujin/thankyou/new_14m_30ea/detail_01.jpg', 'https://exit.ohou.se/5f7924a0d744210b90131bba59f009aee0723179/ai.esmplus.com/alldaroom/tissue_bathroom/yujin/thankyou/new_14m_30ea/detail_02.jpg', 'https://exit.ohou.se/13953f4a19712589f5dbe1b9ecc47d4d35ce591d/ai.esmplus.com/alldaroom/notice/notice.jpg']}",https://ohou.se/productions/854639/selling,300
751349, [30%쿠폰] (한정특가) 퍼펙트 세트 (샴푸2개+트리트2개),4.8,144,11900,41000,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-161612954731127981.jpg/2560/2560,"{'images_url': ['https://exit.ohou.se/a66806692a8f3eb1dbe72b92daacd8ff7bd5f719/eshop.amorepacific.co.kr/mass/best3/ohouse_best3.jpg', 'https://exit.ohou.se/c4c6e37c3e9b1812c8e1ca0cb14ca617d3cc77ca/eshop.amorepacific.co.kr/mass/month/ohouse_month.jpg', 'https://exit.ohou.se/40f07453808abc13329c277269aa5ed0495d3b1d/eshop.amorepacific.co.kr/mass/guide/notice_top_800.gif', 'https://exit.ohou.se/69bafc1e324008faab12ac9ceda9a6a55c3f6f4e/eshop.amorepacific.co.kr/mass/detail/2015/800/111313998.jpg', 'https://exit.ohou.se/34bb6e47c46b37dcd4be0a446947f08fc2393d5b/eshop.amorepacific.co.kr/mass/detail/2015/800/mi_perfect/111314891_01.jpg', 'https://exit.ohou.se/f0028a4140ba80b834b0a45075b786ea45d38715/eshop.amorepacific.co.kr/mass/detail/2015/800/mi_perfect/111314891_02.gif', 'https://exit.ohou.se/0d1ba26bd687092783d2758579e7d31581459a24/eshop.amorepacific.co.kr/mass/detail/2015/800/mi_perfect/111314891_03.jpg', 'https://exit.ohou.se/2cda70255a337642c67194e45c476cc9fea51bc5/eshop.amorepacific.co.kr/mass/detail/2015/800/mi_perfect/111314891_04.gif', 'https://exit.ohou.se/34bb7960ffb497d43f4528ce0001fe189d7f95ae/eshop.amorepacific.co.kr/mass/detail/2015/800/mi_perfect/111314891_05.gif', 'https://exit.ohou.se/11cfe50ca8d9d27ab1d9526a994315ea8292195e/eshop.amorepacific.co.kr/mass/detail/2015/800/mi_perfect/111314891_06.jpg', 'https://exit.ohou.se/c6e8a19eef46f74699b1c7fa03b85ae0b52b1b1e/eshop.amorepacific.co.kr/mass/detail/2015/800/mi_perfect/111314891_07.jpg', 'https://exit.ohou.se/883f69a2f1fe7548bd71d34160e1318e1bc4555d/eshop.amorepacific.co.kr/mass/delivery/ohouse_delivery.jpg']}",https://ohou.se/productions/751349/selling,300
405720,[주말쿠폰] 시그니처 블루 70매 캡 20팩,4.81,43,38500,44800,https://image.ohou.se/image/central_crop/bucketplace-v2-development/uploads-productions-159451889536644700.jpg/2560/2560,"{'images_url': ['https://archeint01.speedgabia.com/spec/758/spec_top758.jpg', 'https://archeint01.speedgabia.com/spec/758/spec_line758.jpg', 'https://archeint01.speedgabia.com/spec/758/spec_sig758.jpg', 'https://archeint01.speedgabia.com/spec/758/spec_newinfo758.jpg', 'https://archeint01.speedgabia.com/spec/758/spec_bottom758.jpg', 'https://archeint01.speedgabia.com/spec/758/spec_plus758.jpg']}",https://ohou.se/productions/405720/selling,300
